							
							
							
session ID	Day	Start time	End time	Room	talk ID		
Sch68	2026-09-19	09:15	10:00	Room C	talk11	Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems	Lien Peeters & Benny Corvers
Sch69	2026-09-19	09:15	10:00	Room D	talk82	When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)	Ayham Fattoum
Sch70	2026-09-19	10:00	10:45	Room A	talk27	Reclaiming Emancipation in Critical Systems Thinking: Using the Double Viable System Model to Identify the Central Game	Gary Evans, Petter Øgland & Jens Kaasbøll
Sch71	2026-09-19	10:00	10:45	Room B	talk69	Languaging an Adaptive Organisation into Existence	Steve Brewis
Sch72	2026-09-19	10:00	10:45	Room C	talk72	Toward viability: applying the Viable System Model to the cruise shorescape	Taja Macek & Tadeja Jere Jakulin
Sch73	2026-09-19	10:00	10:45	Room D	talk59	Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework	Pedro Pablo Cardoso
Sch74	2026-09-19	10:45	11:30	Room A	talk73	Viable for Whom? Contested Identity in the VSM 	Terence Love
Sch75	2026-09-19	10:45	11:30	Room B	talk30	Autonomy and cohesion	Ivo Velitchkov
Sch76	2026-09-19	10:45	11:30	Room C	talk24	Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy	Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile
Sch77	2026-09-19	10:45	11:30	Room D	talk53	Charting the Boundaries of Accountability for Enhanced Airport Operational Resilience	Maurizio Tomasella
Sch78	2026-09-19				coffee	Coffee 	
Sch79	2026-09-19	12:00	12:45	Room A	talk64	Foundations in Dialogue: Comparing VSM and CSH through Checkland’s FMA Framework	Roelien Goede & Gary Smith
Sch80	2026-09-19	12:00	12:45	Room B	talk48	Enactive Viable Agency: A Process-Relational Grammar for Operationalizing the Viable System Model	Marcus Barrick
Sch81	2026-09-19	12:00	12:45	Room C	talk16	From Building a Regime to Running It: A Participatory Viable System Model Diagnostic of a Regulator Entering Dual-Mode Operation	Chris & Penny Hamlin 
Sch82	2026-09-19	12:00	12:45	Room D	talk66	Gamifying the VSM	Sascha Kullak 
Sch83	2026-09-19	12:45	13:30	Room A	talk56	Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media	Nour Abida 
Sch84	2026-09-19	12:45	13:30	Room B	talk13	Temporal Freedom in Viable Systems: A Genealogical Analysis of Human and Machine Time in Organisational Cybernetics	Camilo Osejo 
Sch85	2026-09-19	12:45	13:30	Room C	talk33	Beyond Viability: Ontological Foundations for Ethical and Regenerative Systems	Jeremy Pryce 
Sch86	2026-09-19	12:45	13:30	Room D	talk15	From viability to measurability – Designing governance structures in highly complex and regulated organisational contexts	Carola Ritzinger-Roll 
Sch87	2026-09-19	13:30	14:30		lunch	Lunch	
Sch88	2026-09-19	14:30	16:00	Room A	talk44	Cybernetic Futures (workshop)	Krishan Mathis, Margeret Heath, Panos Panagiotis 
Sch89	2026-09-19	14:30	16:00	Room B	talk37	A full software implementation of Stafford Beer's Viable System Model (VSM) as a complete enterprise management system (workshop)	Jonathan Huxley 
Sch90	2026-09-19	14:30	16:00	Room C	talk63	Community Governance (workshop)	Robin Asby & Penny Marrington 
Sch91	2026-09-19	16:00	16:30		closing	Closing Remarks & Farewell	
