sch51	2026-09-18	11:45	12:30	Room B	talk61	Cybersyn Boxes. Prototyping a Document Visualisation Assisted by AI	Ricardo Vega Mora
sch52	2026-09-18	11:45	12:30	Room C	talk5	Ponds, politics and the east: Stafford Beer's cybernetics—a wider view.	Andrew Pickering (keynote)
sch53	2026-09-18	11:45	12:30	Room D	talk56	Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media	Nour Abida 
sch54	2026-09-18	12:30	13:30		lunch	Lunch	
sch55	2026-09-18	13:30	14:00	Room A	specialplenary	Special Plenary Panel — WOSC: .The World in Torment: A Time Whose Ideas Must Come	I Perko, F Caputo, A Reyes
sch56	2026-09-18	14:00	14:30	Room A	talk72	Toward viability: applying the Viable System Model to the cruise shorescape	Taja Macek & Tadeja Jere Jakulin
sch57	2026-09-18	14:00	14:45	Room B	talk87	The Next 100 Years of Stafford Beer: A Working Viable System Model for the Agentic AI Era..     	Steve Outtrim & David J. Teece
sch58	2026-09-18	14:00	14:45	Room C	talk52	From Cybersyn to the City: Variety Engineering and the Design of Open Urban Infrastructures	Mateus van Stralen
sch59	2026-09-18	14:00	14:45	Room D	talk43	The Speed Gap - Translating the Viable System Model for a New Generation of Practitioners 	Krishan Mathis
sch60	2026-09-18	14:30	15:00	Room A	talk19	Taming the Digital Beast: Variety Engineering and the Quest for Techno-Eustress	Cristina Cervino & Francesco Caputo, Igor Perko
sch61	2026-09-18	14:45	15:30	Room B	talk94	Purposive AI for the 21st Century Sustainable University	Katherine Farrell
sch62	2026-09-18	14:45	15:30	Room C	talk73	Viable for Whom? Contested Identity in the VSM 	Terence Love
sch63	2026-09-18	14:45	15:30	Room D	talk76	Diagnosing the System of the Self: Logical Closure, Normative Identity, and Existential Viability	Thomas McEvoy-Zafiropulos (NOT Saturday 19)
sch64	2026-09-18	15:00	15:30	Room A	talk24	Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy	Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile
sch65	2026-09-18	15:30	16:00		coffee	Coffee	
sch66	2026-09-18	16:00	16:30	Room A	talk49	Organizational Cybernetics in the Age of AI: Toward an Epistemic Conception of Viability	Maria Giovanna Corrado
